"","share","group","subject","period","quantity"
"174",0.1,1,6,24,9.7
"175",0.1,1,6,25,9.7
"176",0.1,1,6,26,9.8
"177",0.1,1,6,27,9.9
"178",0.1,1,6,28,9.7
"179",0.1,1,6,29,9.5
"180",0.1,1,6,30,9.7
"181",0.1,2,7,1,13.3
"182",0.1,2,7,2,13
"183",0.1,2,7,3,13
"184",0.1,2,7,4,13.3
"185",0.1,2,7,5,8
"186",0.1,2,7,6,15
"187",0.1,2,7,7,6.6
"188",0.1,2,7,8,13.3
"189",0.1,2,7,9,8.5
"190",0.1,2,7,10,10
"191",0.1,2,7,11,13.3
"192",0.1,2,7,12,8.5
"193",0.1,2,7,13,10.5
"194",0.1,2,7,14,8.5
"195",0.1,2,7,15,13.3
"196",0.1,2,7,16,12
"197",0.1,2,7,17,15
"198",0.1,2,7,18,6
"199",0.1,2,7,19,7
"200",0.1,2,7,20,8.8
"201",0.1,2,7,21,6
"202",0.1,2,7,22,13.3
"203",0.1,2,7,23,8.5
"204",0.1,2,7,24,5
"205",0.1,2,7,25,13.1
"206",0.1,2,7,26,7
"207",0.1,2,7,27,9
"208",0.1,2,7,28,8
"209",0.1,2,7,29,5
"210",0.1,2,7,30,13.3
"211",0.1,2,8,1,6.5
"212",0.1,2,8,2,3.6
"213",0.1,2,8,3,1.6
"214",0.1,2,8,4,7
"215",0.1,2,8,5,4.2
"216",0.1,2,8,6,4.2
"217",0.1,2,8,7,8
"218",0.1,2,8,8,12
"219",0.1,2,8,9,3.3
"220",0.1,2,8,10,5
"221",0.1,2,8,11,7
"222",0.1,2,8,12,7
"223",0.1,2,8,13,4.2
"224",0.1,2,8,14,6
"225",0.1,2,8,15,0.8
"226",0.1,2,8,16,10
"227",0.1,2,8,17,10.1
"228",0.1,2,8,18,10
"229",0.1,2,8,19,10
"230",0.1,2,8,20,7
"231",0.1,2,8,21,11
"232",0.1,2,8,22,12.1
"233",0.1,2,8,23,13
"234",0.1,2,8,24,9.1
"235",0.1,2,8,25,9.9
"236",0.1,2,8,26,9
"237",0.1,2,8,27,9
"238",0.1,2,8,28,9
"239",0.1,2,8,29,9.5
"240",0.1,2,8,30,7
"241",0.1,2,9,1,9.9
"242",0.1,2,9,2,9.7
"243",0.1,2,9,3,8
"244",0.1,2,9,4,10.2
"245",0.1,2,9,5,7.8
"246",0.1,2,9,6,3.1
"247",0.1,2,9,7,8.3
"248",0.1,2,9,8,8.1
"249",0.1,2,9,9,9.7
"250",0.1,2,9,10,10.6
"251",0.1,2,9,11,8
"252",0.1,2,9,12,8.4
"253",0.1,2,9,13,9.4
"254",0.1,2,9,14,8.4
"255",0.1,2,9,15,8.1
"256",0.1,2,9,16,9.3
"257",0.1,2,9,17,8.2
"258",0.1,2,9,18,10.3
"259",0.1,2,9,19,9.3
"260",0.1,2,9,20,9.3
"261",0.1,2,9,21,8.1
"262",0.1,2,9,22,9.2
"263",0.1,2,9,23,8.2
"264",0.1,2,9,24,10.1
"265",0.1,2,9,25,7.9
"266",0.1,2,9,26,9.9
"267",0.1,2,9,27,8.2
"268",0.1,2,9,28,8.1
"269",0.1,2,9,29,8.8
"270",0.1,2,9,30,8.1
"271",0.1,2,10,1,8.7
"272",0.1,2,10,2,6
"273",0.1,2,10,3,6
"274",0.1,2,10,4,6
"275",0.1,2,10,5,8.7
"276",0.1,2,10,6,8.7
"277",0.1,2,10,7,8.7
"278",0.1,2,10,8,9.3
"279",0.1,2,10,9,8
"280",0.1,2,10,10,8.7
"281",0.1,2,10,11,6
"282",0.1,2,10,12,8.3
"283",0.1,2,10,13,8.3
"284",0.1,2,10,14,8.7
"285",0.1,2,10,15,13
"286",0.1,2,10,16,8.7
"287",0.1,2,10,17,8.7
"288",0.1,2,10,18,8.6
"289",0.1,2,10,19,10
"290",0.1,2,10,20,9
"291",0.1,2,10,21,10
"292",0.1,2,10,22,10
